arm_wheel_angle:	19.167
arm_wheel_length:	24.500

steering_angle	valid_steering_angle	achermann_left_wheel	achermann_right_wheel	left_wheel_angle	right_wheel_angle	left_wheel_error	right_wheel_error	servo_angle	servo_raw_angle
8.900	8.900	9.468	8.396	12.000	11.777	-2.533	-3.381	12.373	72.000	
9.000	9.000	9.581	8.485	12.154	11.896	-2.574	-3.411	12.504	72.000	
9.100	9.100	9.694	8.574	12.308	12.015	-2.614	-3.441	12.634	72.000	
9.200	9.200	9.807	8.663	12.461	12.134	-2.654	-3.471	12.765	72.000	
9.300	9.300	9.921	8.752	12.615	12.252	-2.694	-3.501	12.896	72.000	
9.400	9.400	10.035	8.840	12.767	12.371	-2.733	-3.531	13.027	71.000	
9.500	9.500	10.149	8.929	12.920	12.490	-2.771	-3.561	13.158	71.000	
9.600	9.600	10.263	9.017	13.072	12.608	-2.810	-3.591	13.289	71.000	
9.700	9.700	10.377	9.105	13.224	12.726	-2.848	-3.621	13.420	71.000	
9.800	9.800	10.491	9.194	13.376	12.845	-2.885	-3.651	13.551	71.000	
9.900	9.900	10.606	9.282	13.528	12.963	-2.922	-3.681	13.683	71.000	
10.000	10.000	10.720	9.370	13.679	13.081	-2.959	-3.712	13.814	71.000	
10.100	10.100	10.835	9.457	13.830	13.199	-2.995	-3.742	13.945	71.000	
10.200	10.200	10.950	9.545	13.981	13.317	-3.031	-3.772	14.076	70.000	
10.300	10.300	11.065	9.633	14.132	13.435	-3.066	-3.803	14.208	70.000	
10.400	10.400	11.181	9.720	14.282	13.553	-3.101	-3.833	14.339	70.000	
10.500	10.500	11.296	9.808	14.432	13.671	-3.136	-3.863	14.471	70.000	
10.600	10.600	11.412	9.895	14.582	13.789	-3.170	-3.894	14.602	70.000	
10.700	10.700	11.527	9.982	14.731	13.907	-3.204	-3.924	14.734	70.000	
10.800	10.800	11.643	10.069	14.881	14.024	-3.237	-3.955	14.866	70.000	
10.900	10.900	11.759	10.156	15.030	14.142	-3.270	-3.985	14.997	70.000	
11.000	11.000	11.876	10.243	15.179	14.259	-3.303	-4.016	15.129	69.000	
11.100	11.100	11.992	10.330	15.327	14.377	-3.335	-4.046	15.261	69.000	
11.200	11.200	12.109	10.417	15.476	14.494	-3.367	-4.077	15.393	69.000	
11.300	11.300	12.225	10.503	15.624	14.611	-3.398	-4.108	15.525	69.000	
11.400	11.400	12.342	10.590	15.772	14.728	-3.430	-4.138	15.657	69.000	
11.500	11.500	12.459	10.676	15.919	14.846	-3.460	-4.169	15.789	69.000	
11.600	11.600	12.576	10.763	16.067	14.963	-3.490	-4.200	15.921	69.000	
11.700	11.700	12.694	10.849	16.214	15.080	-3.520	-4.231	16.054	68.000	
11.800	11.800	12.811	10.935	16.361	15.196	-3.550	-4.262	16.186	68.000	
11.900	11.900	12.929	11.021	16.508	15.313	-3.579	-4.292	16.318	68.000	
12.000	12.000	13.047	11.107	16.655	15.430	-3.608	-4.323	16.451	68.000	
12.100	12.100	13.165	11.193	16.801	15.547	-3.636	-4.354	16.583	68.000	
12.200	12.200	13.283	11.278	16.947	15.663	-3.664	-4.385	16.716	68.000	
12.300	12.300	13.401	11.364	17.093	15.780	-3.692	-4.416	16.849	68.000	
12.400	12.400	13.520	11.449	17.238	15.897	-3.719	-4.447	16.981	68.000	
12.500	12.500	13.638	11.535	17.384	16.013	-3.746	-4.478	17.114	67.000	
12.600	12.600	13.757	11.620	17.529	16.129	-3.772	-4.509	17.247	67.000	
12.700	12.700	13.876	11.705	17.674	16.246	-3.798	-4.540	17.380	67.000	
12.800	12.800	13.995	11.790	17.819	16.362	-3.824	-4.571	17.513	67.000	
12.900	12.900	14.114	11.876	17.964	16.478	-3.849	-4.603	17.646	67.000	
13.000	13.000	14.234	11.960	18.108	16.594	-3.874	-4.634	17.779	67.000	
13.100	13.100	14.353	12.045	18.252	16.710	-3.899	-4.665	17.913	67.000	
13.200	13.200	14.473	12.130	18.396	16.826	-3.923	-4.696	18.046	66.000	
13.300	13.300	14.593	12.215	18.540	16.942	-3.947	-4.728	18.179	66.000	
13.400	13.400	14.713	12.299	18.683	17.058	-3.971	-4.759	18.313	66.000	
13.500	13.500	14.833	12.384	18.827	17.174	-3.994	-4.790	18.446	66.000	
13.600	13.600	14.953	12.468	18.970	17.290	-4.017	-4.822	18.580	66.000	
13.700	13.700	15.074	12.552	19.113	17.405	-4.039	-4.853	18.714	66.000	
13.800	13.800	15.194	12.636	19.255	17.521	-4.061	-4.884	18.847	66.000	
13.900	13.900	15.315	12.720	19.398	17.636	-4.083	-4.916	18.981	66.000	
14.000	14.000	15.436	12.804	19.540	17.752	-4.104	-4.947	19.115	65.000	
14.100	14.100	15.557	12.888	19.682	17.867	-4.125	-4.979	19.249	65.000	
14.200	14.200	15.679	12.972	19.824	17.982	-4.146	-5.010	19.383	65.000	
14.300	14.300	15.800	13.056	19.966	18.098	-4.166	-5.042	19.518	65.000	
14.400	14.400	15.922	13.139	20.107	18.213	-4.186	-5.074	19.652	65.000	
14.500	14.500	16.043	13.223	20.249	18.328	-4.205	-5.105	19.786	65.000	
14.600	14.600	16.165	13.306	20.390	18.443	-4.225	-5.137	19.921	65.000	
14.700	14.700	16.287	13.390	20.531	18.558	-4.243	-5.169	20.055	64.000	
14.800	14.800	16.410	13.473	20.672	18.673	-4.262	-5.200	20.190	64.000	
14.900	14.900	16.532	13.556	20.812	18.788	-4.280	-5.232	20.325	64.000	
15.000	15.000	16.654	13.639	20.952	18.903	-4.298	-5.264	20.460	64.000	
15.100	15.100	16.777	13.722	21.093	19.017	-4.315	-5.296	20.595	64.000	
15.200	15.200	16.900	13.805	21.232	19.132	-4.332	-5.327	20.730	64.000	
15.300	15.300	17.023	13.888	21.372	19.247	-4.349	-5.359	20.865	64.000	
15.400	15.400	17.146	13.970	21.512	19.361	-4.366	-5.391	21.000	63.000	
15.500	15.500	17.269	14.053	21.651	19.476	-4.382	-5.423	21.135	63.000	
15.600	15.600	17.393	14.135	21.790	19.590	-4.397	-5.455	21.271	63.000	
15.700	15.700	17.517	14.218	21.929	19.705	-4.413	-5.487	21.406	63.000	
15.800	15.800	17.640	14.300	22.068	19.819	-4.428	-5.519	21.542	63.000	
15.900	15.900	17.764	14.382	22.207	19.933	-4.442	-5.551	21.678	63.000	
16.000	16.000	17.888	14.465	22.345	20.047	-4.457	-5.583	21.814	63.000	
16.100	16.100	18.013	14.547	22.484	20.161	-4.471	-5.615	21.950	63.000	
16.200	16.200	18.137	14.629	22.622	20.275	-4.485	-5.647	22.086	62.000	
16.300	16.300	18.262	14.711	22.760	20.389	-4.498	-5.679	22.222	62.000	
16.400	16.400	18.386	14.792	22.897	20.503	-4.511	-5.711	22.358	62.000	
16.500	16.500	18.511	14.874	23.035	20.617	-4.524	-5.743	22.494	62.000	
16.600	16.600	18.636	14.956	23.172	20.731	-4.536	-5.775	22.631	62.000	
16.700	16.700	18.762	15.037	23.309	20.845	-4.548	-5.808	22.767	62.000	
16.800	16.800	18.887	15.119	23.446	20.958	-4.559	-5.840	22.904	62.000	
16.900	16.900	19.012	15.200	23.583	21.072	-4.571	-5.872	23.041	61.000	
17.000	17.000	19.138	15.281	23.720	21.186	-4.582	-5.904	23.178	61.000	
17.100	17.100	19.264	15.363	23.856	21.299	-4.592	-5.936	23.315	61.000	
17.200	17.200	19.390	15.444	23.993	21.413	-4.603	-5.969	23.452	61.000	
17.300	17.300	19.516	15.525	24.129	21.526	-4.613	-6.001	23.590	61.000	
17.400	17.400	19.642	15.606	24.265	21.639	-4.622	-6.033	23.727	61.000	
17.500	17.500	19.769	15.687	24.400	21.752	-4.632	-6.066	23.864	61.000	
17.600	17.600	19.895	15.768	24.536	21.866	-4.641	-6.098	24.002	60.000	
17.700	17.700	20.022	15.848	24.672	21.979	-4.649	-6.131	24.140	60.000	
17.800	17.800	20.149	15.929	24.807	22.092	-4.658	-6.163	24.278	60.000	
17.900	17.900	20.276	16.009	24.942	22.205	-4.666	-6.195	24.416	60.000	
18.000	18.000	20.403	16.090	25.077	22.318	-4.674	-6.228	24.554	60.000	
18.100	18.100	20.531	16.170	25.212	22.431	-4.681	-6.260	24.692	60.000	
18.200	18.200	20.658	16.251	25.346	22.543	-4.688	-6.293	24.831	60.000	
18.300	18.300	20.786	16.331	25.481	22.656	-4.695	-6.325	24.969	60.000	
18.400	18.400	20.913	16.411	25.615	22.769	-4.701	-6.358	25.108	59.000	
18.500	18.500	21.041	16.491	25.749	22.882	-4.707	-6.390	25.247	59.000	
18.600	18.600	21.170	16.571	25.883	22.994	-4.713	-6.423	25.386	59.000	
18.700	18.700	21.298	16.651	26.016	23.107	-4.719	-6.456	25.525	59.000	
18.800	18.800	21.426	16.731	26.150	23.219	-4.724	-6.488	25.664	59.000	
18.900	18.900	21.555	16.811	26.283	23.331	-4.729	-6.521	25.803	59.000	
19.000	19.000	21.684	16.890	26.417	23.444	-4.733	-6.554	25.943	59.000	
19.100	19.100	21.812	16.970	26.550	23.556	-4.737	-6.586	26.083	58.000	
19.200	19.200	21.941	17.049	26.683	23.668	-4.741	-6.619	26.223	58.000	
19.300	19.300	22.071	17.129	26.815	23.780	-4.745	-6.652	26.362	58.000	
19.400	19.400	22.200	17.208	26.948	23.892	-4.748	-6.684	26.503	58.000	
19.500	19.500	22.329	17.287	27.080	24.005	-4.751	-6.717	26.643	58.000	
19.600	19.600	22.459	17.367	27.213	24.116	-4.754	-6.750	26.783	58.000	
19.700	19.700	22.589	17.446	27.345	24.228	-4.756	-6.783	26.924	58.000	
19.800	19.800	22.719	17.525	27.477	24.340	-4.758	-6.815	27.065	57.000	
19.900	19.900	22.849	17.604	27.609	24.452	-4.760	-6.848	27.205	57.000	
