arm_wheel_angle:	19.167
arm_wheel_length:	24.500

steering_angle	valid_steering_angle	achermann_left_wheel	achermann_right_wheel	left_wheel_angle	right_wheel_angle	left_wheel_error	right_wheel_error	servo_angle	servo_raw_angle
-13.600	-13.600	-12.468	-14.953	-17.782	-17.782	5.314	2.829	-16.781	100.000	
-13.500	-13.500	-12.384	-14.833	-17.630	-17.630	5.247	2.798	-16.648	100.000	
-13.400	-13.400	-12.299	-14.713	-17.479	-17.479	5.180	2.767	-16.515	100.000	
-13.300	-13.300	-12.215	-14.593	-17.328	-17.328	5.114	2.736	-16.383	100.000	
-13.200	-13.200	-12.130	-14.473	-17.178	-17.178	5.048	2.705	-16.250	100.000	
-13.100	-13.100	-12.045	-14.353	-17.028	-17.028	4.983	2.675	-16.117	100.000	
-13.000	-13.000	-11.960	-14.233	-16.878	-16.878	4.918	2.645	-15.985	99.000	
-12.900	-12.900	-11.875	-14.114	-16.729	-16.729	4.853	2.614	-15.852	99.000	
-12.800	-12.800	-11.790	-13.995	-16.579	-16.579	4.789	2.584	-15.720	99.000	
-12.700	-12.700	-11.705	-13.876	-16.430	-16.430	4.725	2.555	-15.588	99.000	
-12.600	-12.600	-11.620	-13.757	-16.282	-16.282	4.661	2.525	-15.455	99.000	
-12.500	-12.500	-11.535	-13.638	-16.133	-16.133	4.598	2.495	-15.323	99.000	
-12.400	-12.400	-11.449	-13.519	-15.985	-15.985	4.536	2.466	-15.191	99.000	
-12.300	-12.300	-11.364	-13.401	-15.837	-15.837	4.473	2.436	-15.059	99.000	
-12.200	-12.200	-11.278	-13.283	-15.690	-15.690	4.411	2.407	-14.927	98.000	
-12.100	-12.100	-11.193	-13.165	-15.542	-15.542	4.350	2.378	-14.795	98.000	
-12.000	-12.000	-11.107	-13.047	-15.395	-15.395	4.288	2.348	-14.664	98.000	
-11.900	-11.900	-11.021	-12.929	-15.248	-15.248	4.227	2.319	-14.532	98.000	
-11.800	-11.800	-10.935	-12.811	-15.102	-15.102	4.167	2.291	-14.400	98.000	
-11.700	-11.700	-10.849	-12.694	-14.956	-14.956	4.107	2.262	-14.269	98.000	
-11.600	-11.600	-10.763	-12.576	-14.809	-14.809	4.047	2.233	-14.137	98.000	
-11.500	-11.500	-10.676	-12.459	-14.664	-14.664	3.987	2.205	-14.006	98.000	
-11.400	-11.400	-10.590	-12.342	-14.518	-14.518	3.928	2.176	-13.874	97.000	
-11.300	-11.300	-10.503	-12.225	-14.373	-14.373	3.870	2.148	-13.743	97.000	
-11.200	-11.200	-10.417	-12.109	-14.228	-14.228	3.811	2.119	-13.612	97.000	
-11.100	-11.100	-10.330	-11.992	-38.635	-14.083	28.305	2.091	-13.481	97.000	
-11.000	-11.000	-10.243	-11.876	-36.749	-13.939	26.506	2.063	-13.350	97.000	
-10.900	-10.900	-10.156	-11.759	-35.554	-13.794	25.398	2.035	-13.218	97.000	
-10.800	-10.800	-10.069	-11.643	-34.597	-13.650	24.527	2.007	-13.087	97.000	
-10.700	-10.700	-9.982	-11.527	-33.770	-13.506	23.788	1.979	-12.956	96.000	
-10.600	-10.600	-9.895	-11.412	-33.031	-13.363	23.136	1.951	-12.826	96.000	
-10.500	-10.500	-9.808	-11.296	-32.356	-13.219	22.548	1.923	-12.695	96.000	
-10.400	-10.400	-9.720	-11.181	-31.728	-13.076	22.008	1.896	-12.564	96.000	
-10.300	-10.300	-9.633	-11.065	-31.139	-12.933	21.507	1.868	-12.433	96.000	
-10.200	-10.200	-9.545	-10.950	-30.583	-12.790	21.038	1.840	-12.302	96.000	
-10.100	-10.100	-9.457	-10.835	-30.053	-12.648	20.596	1.813	-12.172	96.000	
-10.000	-10.000	-9.370	-10.720	-29.546	-12.506	20.176	1.785	-12.041	96.000	
-9.900	-9.900	-9.282	-10.606	-29.059	-12.364	19.777	1.758	-11.911	95.000	
-9.800	-9.800	-9.194	-10.491	-28.590	-12.222	19.396	1.731	-11.780	95.000	
-9.700	-9.700	-9.105	-10.377	-28.136	-12.080	19.030	1.704	-11.650	95.000	
-9.600	-9.600	-9.017	-10.263	-27.696	-11.939	18.679	1.676	-11.519	95.000	
-9.500	-9.500	-8.929	-10.148	-27.269	-11.798	18.340	1.649	-11.389	95.000	
-9.400	-9.400	-8.840	-10.035	-26.853	-11.657	18.013	1.622	-11.259	95.000	
-9.300	-9.300	-8.752	-9.921	-26.448	-11.516	17.697	1.595	-11.128	95.000	
-9.200	-9.200	-8.663	-9.807	-26.053	-11.375	17.390	1.568	-10.998	94.000	
-9.100	-9.100	-8.574	-9.694	-25.666	-11.235	17.092	1.541	-10.868	94.000	
-9.000	-9.000	-8.485	-9.581	-25.288	-11.095	16.803	1.514	-10.738	94.000	
-8.900	-8.900	-8.396	-9.467	-24.918	-10.955	16.521	1.487	-10.608	94.000	
-8.800	-8.800	-8.307	-9.354	-24.554	-10.815	16.247	1.461	-10.478	94.000	
-8.700	-8.700	-8.218	-9.242	-24.197	-10.675	15.980	1.434	-10.348	94.000	
-8.600	-8.600	-8.128	-9.129	-23.847	-10.536	15.719	1.407	-10.218	94.000	
-8.500	-8.500	-8.039	-9.017	-23.503	-10.397	15.464	1.380	-10.088	94.000	
-8.400	-8.400	-7.949	-8.904	-23.164	-10.258	15.215	1.354	-9.958	93.000	
-8.300	-8.300	-7.860	-8.792	-22.830	-10.119	14.971	1.327	-9.828	93.000	
-8.200	-8.200	-7.770	-8.680	-22.502	-9.980	14.732	1.300	-9.698	93.000	
-8.100	-8.100	-7.680	-8.568	-22.178	-9.842	14.498	1.274	-9.569	93.000	
-8.000	-8.000	-7.590	-8.456	-21.859	-9.704	14.269	1.247	-9.439	93.000	
-7.900	-7.900	-7.500	-8.345	-21.544	-9.566	14.044	1.221	-9.309	93.000	
-7.800	-7.800	-7.410	-8.233	-21.233	-9.428	13.823	1.194	-9.180	93.000	
-7.700	-7.700	-7.319	-8.122	-20.926	-9.290	13.607	1.168	-9.050	93.000	
-7.600	-7.600	-7.229	-8.011	-20.623	-9.153	13.394	1.142	-8.920	92.000	
